,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut 
7,Delaware
8,Florida
9,Georgia
10,Hawaii
11,Idaho
12,Illinois
13,Indiana
14,Iowa
15,Kansas
16,Kentucky
17,Louisiana
18,Maine
19,Maryland
20,Massachusetts
21,Michigan
22,Mississippi
23,Missouri
24,Montana
25,Nebraska
26,New Hampshire
27,New Jersey
28,New Mexico
29,New York
30,North Carolina
31,North Dakota
32,Oregon
33,Pennsylvania
34,Rhode Island
35,South Carolina
36,South Dakota
37,Tennessee
38,Utah
39,Vermont
40,Virginia
41,Washington
42,West Virginia
43,Wisconsin
44,Wyoming
